plant_genotype	strain	nodule	nodule_raw	nodabove	nodabove_raw	nodred	nodred_raw	weight	weight_raw
R108	1184	-1.60675132889746	18.5	-0.64790962319944	18.5	0.469289665308172	18.5	0.138230206105183	0.4123
R108	1186	11.8391038256942	44	13.6477916461454	44	14.5970482680674	44	0.0868071377432797	0.4146
R108	1191	0.339103825694175	32.5	2.14779164614536	32.5	3.09704826806741	32.5	0.0380333597091367	0.3162
R108	1195	4.83910382569417	37	6.64779164614536	37	7.59704826806741	37	0.18220713774328	0.51
R108	1199	15.8031956329359	33	15.9117107310555	33	19.5791451887927	33	-0.119219793894817	0.15485
R108	1201	-14.8778042238238	3	-12.7258161755616	3	-14.8926276359655	1.5	NA	NA
R108	1203	20.7490507875275	50	21.7074120004003	50	25.206903791552	50	0.216333359709137	0.4945
R108	1204	-1.25094921247249	28	-7.2925879995997	21	1.20690379155197	26	0.0782333597091367	0.3564
R108	1205	0.032142738009509	15	-5.6661958213067	8	-7.78277211248095	4	-0.0620830034433346	0.044
R108	1206	-4.96785726199049	10	-3.6661958213067	10	-1.78277211248095	10	-0.0800830034433346	0.026
R108	1208	-10.1968043670641	7	-10.0882892689445	7	-6.42085481120727	7	-0.13154357192896	0.0929
R108	1211	15.3391038256942	47.5	16.1477916461454	46.5	18.0970482680674	47.5	0.26460713774328	0.5924
R108	1212	16.6161762483984	42.75	17.999941011473	42.75	19.0331689666878	42.75	-0.122556328075769	0.178375
R108	1220	-7.66089617430582	24.5	-8.85220835385464	21.5	-4.90295173193259	24.5	-0.113566640290863	0.1646
R108	1225	0.74905078752751	30	1.7074120004003	30	1.20690379155197	26	0.143233359709137	0.4214
R108	1232	-5.16089617430582	27	-7.35220835385464	23	-2.40295173193259	27	0.21150713774328	0.5393
R108	1237	-12.6608961743058	19.5	-10.8522083538546	19.5	-9.90295173193259	19.5	0.0526071377432797	0.3804
R108	1248	1.89324867110254	22	2.85209037680056	22	3.96928966530817	22	0.00173020610518284	0.2758
R108	1280	-2.60675132889746	17.5	-1.64790962319944	17.5	-0.530710334691828	17.5	0.0298802061051828	0.30395
R108	1302	2.64324867110254	22.75	3.60209037680056	22.75	4.71928966530817	22.75	0.113255206105183	0.387325
R108	1308	8.39324867110254	28.5	9.35209037680056	28.5	10.4692896653082	28.5	0.0679802061051829	0.34205
R108	1320	-2.66089617430582	29.5	-0.852208353854636	29.5	-4.40295173193259	25	0.13475713774328	0.46255
R108	1335	0.839103825694175	33	2.64779164614536	33	3.59704826806741	33	0.22670713774328	0.5545
R108	1336	5.08628758341787	8	5.53810290934849	8	7.58946928475982	8	-0.0478599350814315	0.0045
R108	1357	5.83910382569417	38	4.64779164614536	35	8.59704826806741	38	0.10425713774328	0.43205
R108	1389	-2.60675132889746	17.5	-1.64790962319944	17.5	-7.03071033469183	11	-0.19204357192896	0.0324
